element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
504,10,13,1,False,2019-08-11T13:00:00Z,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.5,0.0,0.2,45,0,46077,0,0
504,11,5,0,True,2019-08-17T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,28019,101246,42713,14694
504,24,10,0,False,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,7199,112438,30202,23003
504,31,17,0,True,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-9069,105991,10601,19670
504,49,18,0,False,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6551,103034,8581,15132
504,51,2,0,True,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7831,96242,3866,11697
504,67,12,0,False,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5550,92349,4923,10473
504,71,3,0,True,2019-10-06T13:00:00Z,1,0,8,27,0,0,0,0,0,0,0,1,0,0,0,-4,4.4,3.8,14.0,2.2,45,2306,96280,8858,6552
504,88,15,1,False,2019-10-21T19:00:00Z,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,0.0,0.0,45,-499,97012,7408,7907
504,91,7,0,True,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-70,97698,3982,4052
504,101,20,1,True,2019-11-02T15:00:00Z,1,1,11,30,0,0,0,1,0,0,0,0,0,0,0,2,1.4,0.3,4.0,0.6,45,5629,105071,11415,5786
504,113,9,0,False,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,7,105287,6244,6237
504,121,16,4,True,2019-11-23T15:00:00Z,2,2,13,7,0,1,0,0,0,0,0,0,0,0,0,12,1.0,0.0,2.0,0.3,45,-551,106332,7130,7681
504,137,14,1,False,2019-12-01T14:00:00Z,2,2,14,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,45,3160,110491,8147,4987
504,141,4,1,True,2019-12-05T20:15:00Z,1,2,15,13,0,0,0,1,0,0,0,0,0,0,0,2,2.0,0.0,19.0,2.1,45,135,110853,4443,4308
504,160,19,7,False,2019-12-09T20:00:00Z,1,3,16,90,1,0,0,1,0,0,0,0,0,0,1,32,44.2,11.5,57.0,11.3,45,-3415,107740,2827,6242
504,161,11,2,True,2019-12-15T16:30:00Z,0,3,17,90,0,0,0,3,0,0,0,0,0,0,0,10,12.4,0.8,27.0,4.0,45,16056,126266,22092,6036
504,174,8,2,False,2019-12-21T12:30:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,4,4.0,2.1,5.0,1.1,45,11377,138085,18014,6637
504,182,3,0,False,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-275,138311,9857,10132
504,191,6,0,True,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10579,127754,1650,12229
504,201,12,0,True,2020-01-01T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11645,116528,1950,13595
504,214,7,1,False,2020-01-11T12:30:00Z,1,1,22,20,0,0,0,0,0,0,0,0,0,0,0,4,1.4,0.6,2.0,0.4,45,-6817,110248,3517,10334
504,221,15,8,True,2020-01-18T15:00:00Z,1,1,23,90,1,0,0,1,0,0,0,0,0,0,2,22,31.8,1.3,47.0,8.0,45,8132,119541,14869,6737
504,238,6,8,False,2020-01-21T20:15:00Z,2,2,24,90,1,0,0,2,0,0,0,0,0,0,2,33,44.2,3.3,27.0,7.5,45,23176,146310,27363,4187
504,242,5,2,False,2020-02-02T14:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,5,14.8,11.5,22.0,4.8,46,114041,263179,130017,15976
504,251,13,0,True,2020-02-16T16:30:00Z,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,54236,317344,68750,14514
504,261,8,0,True,2020-02-23T16:30:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-20931,296263,27576,48507
