element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
506,9,12,0,False,2019-08-11T15:30:00Z,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,3524,0,0
506,14,9,0,True,2019-08-18T15:30:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-794,4028,274,1068
506,26,14,0,False,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-736,3385,92,828
506,33,15,0,True,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-386,3063,90,476
506,50,20,0,False,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,16,3144,486,470
506,53,10,0,True,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-18,3174,215,233
506,63,4,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,2870,6370,3207,337
506,78,16,0,False,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,624,7221,1394,770
506,83,13,1,True,2019-10-19T14:00:00Z,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,-1073,6283,374,1447
506,93,5,0,False,2019-10-26T16:30:00Z,2,4,10,27,0,0,0,2,0,0,0,0,0,0,0,7,15.2,1.3,8.0,2.5,50,-343,6136,251,594
506,109,18,1,False,2019-11-02T17:30:00Z,1,2,11,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,-69,6370,608,677
506,112,7,6,True,2019-11-09T12:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,23,9.6,3.5,0.0,1.3,50,341,7039,890,549
506,127,11,1,False,2019-11-23T17:30:00Z,2,1,13,31,0,0,0,0,0,0,0,0,0,0,0,6,6.2,4.6,0.0,1.1,50,4016,11860,4779,763
506,132,19,2,True,2019-11-30T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,22,16.8,10.8,3.0,3.1,50,2089,14301,2987,898
506,147,2,6,True,2019-12-04T19:30:00Z,2,1,15,90,0,1,0,1,0,0,0,0,0,0,1,26,33.4,32.8,4.0,7.0,50,2184,16742,2892,708
506,154,8,1,False,2019-12-07T12:30:00Z,3,1,16,81,0,0,0,2,0,0,0,0,0,0,0,19,9.6,21.2,4.0,3.5,50,12598,30436,13446,848
506,163,3,0,True,2019-12-14T15:00:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,8450,39560,11482,3032
506,178,17,1,False,2019-12-22T16:30:00Z,0,2,18,10,0,0,0,0,0,0,0,0,0,0,0,3,0.4,1.7,18.0,2.0,50,-5335,33179,1237,6572
506,183,16,0,True,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2750,31696,1360,4110
506,191,1,0,False,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6936,24743,169,7105
506,202,4,1,False,2020-01-01T12:30:00Z,1,1,21,90,0,0,0,1,0,0,0,1,0,0,0,21,23.2,16.2,18.0,5.7,50,-7321,17512,61,7382
506,213,5,11,True,2020-01-11T15:00:00Z,3,0,22,90,0,1,1,0,0,0,0,0,0,0,2,35,36.0,46.9,28.0,11.1,50,1262,19350,2895,1633
506,226,13,8,False,2020-01-18T17:30:00Z,1,0,23,74,0,0,1,0,0,0,0,0,0,0,2,32,24.4,36.1,0.0,6.1,50,26735,48196,29489,2754
506,238,1,0,True,2020-01-21T20:15:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1893,44581,4822,6715
506,244,9,1,False,2020-02-01T12:30:00Z,2,2,25,90,0,0,0,2,0,0,0,0,0,0,0,16,15.8,1.5,2.0,1.9,50,-4316,40749,2079,6395
506,254,12,0,True,2020-02-17T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,7124,48918,9713,2589
