element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
507,1,10,0,False,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,2422,0,0
507,17,13,0,True,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-63,2674,287,350
507,26,6,0,True,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,719,4077,1306,587
507,40,19,1,False,2019-08-31T14:00:00Z,2,0,4,54,0,0,0,1,0,0,0,0,0,0,0,3,9.0,0.3,0.0,0.9,45,304,4782,1050,746
507,46,11,2,True,2019-09-14T16:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,12,19.8,0.0,0.0,2.0,45,252,5360,897,645
507,52,5,1,False,2019-09-21T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,1,0,0,0,9,28.6,0.9,0.0,3.0,45,1114,6860,1635,521
507,64,7,2,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,18,21.6,0.6,0.0,2.2,45,199,7213,905,706
507,77,2,2,True,2019-10-05T14:00:00Z,1,5,8,90,0,0,0,5,0,0,0,0,0,0,0,14,18.6,0.0,12.0,3.1,45,658,8114,1194,536
507,82,3,3,False,2019-10-19T14:00:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,22,25.2,0.2,4.0,2.9,45,90,8320,722,632
507,97,12,2,True,2019-10-27T16:30:00Z,1,3,10,90,0,0,0,3,0,0,0,0,0,0,0,16,11.4,0.0,0.0,1.1,45,311,8737,699,388
507,104,4,0,False,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-719,8006,282,1001
507,117,18,0,True,2019-11-08T20:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-135,7951,258,393
507,126,8,1,False,2019-11-23T15:00:00Z,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,45,-249,7793,273,522
507,137,1,2,True,2019-12-01T14:00:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,18,22.8,16.0,8.0,4.7,45,-140,7721,198,338
507,150,16,1,False,2019-12-04T19:30:00Z,2,1,15,45,0,0,0,2,0,0,0,0,0,0,0,5,9.6,0.1,0.0,1.0,45,-13,7763,232,245
507,157,15,0,True,2019-12-08T14:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-86,7695,207,293
507,165,9,0,False,2019-12-14T15:00:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-94,7684,275,369
507,177,20,0,True,2019-12-21T15:00:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-161,7616,154,315
507,181,2,0,False,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-87,7505,151,238
507,197,17,0,True,2019-12-28T17:30:00Z,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-106,7426,102,208
507,207,7,0,True,2020-01-01T17:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-126,7331,193,319
507,217,12,1,False,2020-01-11T15:00:00Z,4,0,22,25,0,0,0,1,0,0,0,0,0,0,0,2,8.6,0.2,7.0,1.6,45,-228,7148,136,364
507,227,3,0,True,2020-01-18T15:00:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-91,7104,181,272
507,240,17,0,False,2020-01-22T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-76,7053,103,179
507,247,13,0,False,2020-02-01T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-317,6722,43,360
507,257,10,0,True,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-277,6461,19,296
