element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
508,3,5,1,False,2019-08-10T14:00:00Z,3,0,1,17,0,0,0,1,0,0,0,0,0,0,0,2,5.4,12.3,6.0,2.4,55,0,3305,0,0
508,19,10,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-348,4313,334,682
508,23,4,4,False,2019-08-24T14:00:00Z,0,2,3,10,0,1,0,0,0,0,0,0,0,0,0,18,19.0,10.3,2.0,3.1,55,-710,3963,178,888
508,39,12,2,True,2019-08-31T11:30:00Z,1,1,4,70,0,0,0,1,0,0,0,0,0,0,0,3,5.0,11.8,45.0,6.2,55,564,5159,1109,545
508,47,15,6,False,2019-09-14T14:00:00Z,0,1,5,84,0,1,1,0,0,0,0,0,0,0,0,18,31.4,28.9,22.0,8.2,55,1167,6967,2112,945
508,59,3,2,True,2019-09-20T19:00:00Z,1,3,6,90,0,0,0,3,0,0,0,0,0,0,0,14,19.4,14.9,59.0,9.3,55,4408,12403,5323,915
508,69,17,2,False,2019-09-28T14:00:00Z,2,1,7,87,0,0,0,2,0,0,0,0,0,0,0,-2,6.2,24.8,13.0,4.4,55,-1153,11212,1436,2589
508,78,6,1,True,2019-10-06T13:00:00Z,1,4,8,9,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.3,0.0,0.1,55,-154,11398,1379,1533
508,90,20,1,False,2019-10-19T14:00:00Z,1,1,9,14,0,0,0,0,0,0,0,0,0,0,0,5,3.2,0.7,0.0,0.4,55,-979,10625,500,1479
508,98,9,0,True,2019-10-25T19:00:00Z,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-733,10025,260,993
508,107,11,0,False,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1267,8861,130,1397
508,118,8,3,True,2019-11-09T15:00:00Z,1,2,12,45,0,1,0,1,0,0,0,1,0,0,0,4,8.8,1.1,11.0,2.1,55,-588,8417,165,753
508,121,1,1,False,2019-11-23T15:00:00Z,2,2,13,4,0,0,0,1,0,0,0,0,0,0,0,4,3.2,10.8,32.0,4.6,55,-225,8393,312,537
508,138,18,1,True,2019-11-30T17:30:00Z,2,1,14,33,0,0,0,0,0,0,0,0,0,0,0,8,10.2,15.7,24.0,5.0,55,-467,7980,160,627
508,150,14,0,True,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-123,7927,204,327
508,156,13,1,False,2019-12-08T14:00:00Z,2,1,16,17,0,0,0,1,0,0,0,0,0,0,0,0,2.6,11.3,6.0,2.0,55,-353,7604,119,472
508,169,19,0,True,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-354,7327,102,456
508,171,2,0,False,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-425,6890,16,441
508,183,6,0,False,2019-12-26T15:00:00Z,0,2,19,10,0,0,0,0,0,0,0,1,0,0,0,-1,1.0,0.2,0.0,0.1,55,-9,7000,142,151
508,198,7,2,True,2019-12-28T15:00:00Z,1,1,20,67,0,0,0,1,0,0,0,0,0,0,0,4,7.8,3.8,8.0,2.0,55,59,7138,206,147
508,208,17,0,True,2020-01-01T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-47,7166,179,226
508,216,9,0,False,2020-01-11T15:00:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-312,6891,84,396
