element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
50,7,18,0,False,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,5564,0,0
50,13,19,0,True,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-921,5781,211,1132
50,23,16,0,True,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-892,5184,91,983
50,37,11,0,False,2019-08-31T14:00:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-551,4925,52,603
50,43,5,0,True,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-331,4861,73,404
50,58,13,0,False,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-268,4723,24,292
50,63,6,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-463,4271,12,475
50,72,17,0,True,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-59,4329,42,101
50,81,2,0,False,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-61,4398,57,118
50,92,8,0,True,2019-10-26T14:00:00Z,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-45,4413,29,74
50,104,14,0,True,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-61,4433,50,111
50,115,12,0,False,2019-11-10T14:00:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-57,4449,40,97
50,124,9,0,True,2019-11-23T15:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-55,4503,53,108
50,134,10,0,False,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-43,4518,17,60
50,141,1,0,False,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-26,4525,19,45
50,153,20,1,True,2019-12-08T16:30:00Z,2,2,16,22,0,0,0,0,0,0,0,0,0,0,0,4,2.2,2.3,2.0,0.7,58,-47,4521,18,65
50,164,7,0,False,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-20,4588,35,55
50,173,15,0,True,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-3,4666,60,63
50,189,17,0,False,2019-12-26T12:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-28,4690,21,49
50,192,3,8,True,2019-12-28T12:30:00Z,2,0,20,83,1,0,1,0,0,0,0,0,0,0,0,24,37.6,5.2,44.0,8.7,58,-20,4707,25,45
50,202,6,8,True,2020-01-01T12:30:00Z,1,1,21,22,1,0,0,0,0,0,0,0,0,0,2,28,36.4,31.6,22.0,9.0,58,489,5316,635,146
50,215,8,2,False,2020-01-11T15:00:00Z,1,0,22,61,0,0,0,1,0,0,0,0,0,0,0,3,0.6,2.5,4.0,0.7,58,4848,10763,5759,911
