element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
515,10,13,0,False,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,49998,0,0
515,11,5,0,True,2019-08-17T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-16407,37913,1799,18206
515,24,10,0,False,2019-08-24T16:30:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-8566,30203,392,8958
515,31,17,0,True,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4562,26201,330,4892
515,49,18,0,False,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2441,24066,831,3272
515,51,2,0,True,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-697,23582,758,1455
515,67,12,0,False,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,7695,32059,8941,1246
515,71,3,0,True,2019-10-06T13:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,15389,48724,16713,1324
515,88,15,0,False,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,15282,64586,17914,2632
515,91,7,1,True,2019-10-27T16:30:00Z,2,2,10,74,0,0,0,2,0,0,0,0,0,0,0,12,12.6,16.3,5.0,3.4,54,2166,66653,5389,3223
515,101,20,2,True,2019-11-02T15:00:00Z,1,1,11,86,0,0,0,1,0,0,0,0,0,0,0,15,16.4,3.3,4.0,2.4,54,5134,72519,8699,3565
515,113,9,0,False,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2142,70163,2657,4799
515,121,16,0,True,2019-11-23T15:00:00Z,2,2,13,90,0,0,0,2,0,0,0,1,0,0,0,12,15.2,35.6,22.0,7.3,54,-3703,67452,3110,6813
515,137,14,0,False,2019-12-01T14:00:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3569,64095,2633,6202
515,141,4,1,True,2019-12-05T20:15:00Z,1,2,15,18,0,0,0,1,0,0,0,0,0,0,0,8,9.0,18.1,0.0,2.7,54,-4178,60124,791,4969
515,160,19,1,False,2019-12-09T20:00:00Z,1,3,16,28,0,0,0,0,0,0,0,0,0,0,0,4,2.8,1.8,0.0,0.5,54,-5964,54331,503,6467
515,161,11,0,True,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-14045,40245,277,14322
515,174,8,0,False,2019-12-21T12:30:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7289,32904,21,7310
515,182,3,0,False,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2645,30829,16,2661
515,191,6,0,True,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1348,29533,13,1361
515,201,12,0,True,2020-01-01T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1493,28071,24,1517
515,214,7,0,False,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1534,26545,39,1573
515,221,15,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1003,25541,23,1026
515,238,6,0,False,2020-01-21T20:15:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-423,25157,12,435
515,242,5,0,False,2020-02-02T14:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-590,24594,14,604
515,251,13,0,True,2020-02-16T16:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-240,24381,14,254
