element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
522,2,3,0,False,2019-08-10T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,12216,0,0
522,18,7,0,True,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,421,15920,2174,1753
522,27,9,0,True,2019-08-24T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1318,15074,1006,2324
522,33,6,0,False,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1379,14051,633,2012
522,47,16,0,True,2019-09-14T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-882,13543,604,1486
522,55,8,0,False,2019-09-21T14:00:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-952,12674,241,1193
522,68,10,0,True,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-827,11949,256,1083
522,79,18,0,False,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-351,11749,301,652
522,88,1,0,True,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-400,11462,225,625
522,100,19,1,False,2019-10-26T14:00:00Z,1,1,10,9,0,0,0,0,0,0,0,0,0,0,0,5,4.0,0.5,0.0,0.5,45,-192,11333,149,341
522,108,5,0,True,2019-11-02T15:00:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-255,11152,226,481
522,119,17,0,False,2019-11-09T15:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-173,11018,203,376
522,128,12,0,True,2019-11-24T16:30:00Z,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-149,10972,328,477
522,140,20,0,False,2019-12-01T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-138,10881,245,383
522,145,13,0,True,2019-12-05T19:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-162,10752,113,275
522,157,14,1,False,2019-12-08T14:00:00Z,1,2,16,25,0,0,0,0,0,0,0,0,0,0,0,8,12.8,10.9,0.0,2.4,44,-136,10649,136,272
522,168,2,1,True,2019-12-14T15:00:00Z,2,0,17,4,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.7,0.0,0.1,44,-4,10728,321,325
522,173,4,1,False,2019-12-21T15:00:00Z,0,1,18,8,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0.0,0.0,0.0,44,-52,10726,274,326
522,188,18,0,True,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-42,10731,212,254
522,195,11,2,False,2019-12-29T18:00:00Z,2,0,20,74,0,0,0,1,0,0,0,0,0,0,0,5,2.0,4.0,5.0,1.1,44,-114,10647,112,226
522,204,10,1,False,2020-01-02T20:00:00Z,2,0,21,12,0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.4,0.0,0.3,44,25,10726,320,295
522,218,19,0,True,2020-01-10T20:00:00Z,1,0,22,20,0,0,0,0,0,0,0,1,0,0,0,1,3.6,1.6,17.0,2.2,44,-138,10633,224,362
522,221,1,1,False,2020-01-18T15:00:00Z,1,1,23,14,0,0,0,0,0,0,0,0,0,0,0,4,5.4,0.3,7.0,1.3,44,-110,10559,230,340
522,236,11,1,True,2020-01-21T19:30:00Z,0,1,24,77,0,0,0,1,0,0,0,1,0,0,0,5,2.6,3.1,0.0,0.6,44,-55,10560,167,222
522,243,7,0,False,2020-02-01T15:00:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,80,10692,440,360
522,258,3,0,True,2020-02-09T14:00:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,43,10772,282,239
522,268,4,0,True,2020-02-22T15:00:00Z,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-98,10699,197,295
