element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
523,6,2,0,True,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,30815,0,0
523,16,11,1,False,2019-08-17T16:30:00Z,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,75,-6157,34541,3713,9870
523,28,13,1,True,2019-08-25T15:30:00Z,0,1,3,28,0,0,0,0,0,0,0,0,0,0,0,4,2.4,23.6,1.0,2.7,75,-7140,29202,1318,8458
523,31,1,1,False,2019-09-01T15:30:00Z,2,2,4,11,0,0,0,0,0,0,0,0,0,0,0,2,6.4,0.5,0.0,0.7,74,-4940,26004,1011,5951
523,48,7,0,True,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-5851,21038,536,6387
523,56,9,0,False,2019-09-21T11:30:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-3164,18064,42,3206
523,69,16,0,True,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-1630,16500,38,1668
523,72,4,0,False,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-686,15867,38,724
523,89,18,0,True,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-413,15483,57,470
523,94,10,1,False,2019-10-27T16:30:00Z,2,1,10,2,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.0,2.0,0.3,73,-48,15523,93,141
523,106,8,1,False,2019-11-03T16:30:00Z,1,1,11,17,0,0,0,1,0,0,0,0,0,0,0,2,3.2,0.3,0.0,0.4,73,20,15873,240,220
523,119,15,2,True,2019-11-09T15:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,33.3,13.0,5.7,73,1271,17557,1552,281
523,130,19,0,False,2019-11-23T12:30:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,723,18697,1467,744
523,139,3,1,True,2019-11-30T15:00:00Z,3,2,14,2,0,0,0,1,0,0,0,0,0,0,0,2,3.0,0.1,0.0,0.3,73,-1349,17487,231,1580
523,144,12,1,False,2019-12-04T19:30:00Z,2,1,15,5,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0.7,2.0,0.3,73,-488,17148,95,583
523,158,5,0,True,2019-12-07T15:00:00Z,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-267,17036,138,405
523,170,20,0,False,2019-12-15T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-355,16907,150,505
523,178,6,0,True,2019-12-22T16:30:00Z,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-146,17044,206,352
523,189,4,1,True,2019-12-26T12:30:00Z,2,1,19,34,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2.8,0.0,0.8,73,4,17280,249,245
523,197,14,2,False,2019-12-28T17:30:00Z,2,2,20,73,0,0,0,2,0,0,0,0,0,0,0,13,10.0,13.3,17.0,4.0,73,847,18402,1098,251
523,208,16,2,False,2020-01-01T15:00:00Z,1,0,21,65,0,0,1,0,0,0,0,1,0,0,0,3,15.0,15.5,14.0,4.5,73,-512,18014,256,768
523,219,10,1,True,2020-01-11T17:30:00Z,0,1,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.6,9.0,1.5,73,-314,18013,233,547
