element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
526,1,14,1,True,2019-08-09T19:00:00Z,4,1,1,51,0,0,0,1,0,0,0,0,0,2,0,7,10.6,0.0,0.0,1.1,45,0,0,0,0
526,19,16,3,False,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,1,0,0,0,0,0,3,0,12,12.2,0.0,0.0,1.2,45,134813,178033,163790,28977
526,24,1,2,True,2019-08-24T16:30:00Z,3,1,3,90,0,0,0,1,0,0,0,0,0,2,0,10,9.2,0.0,0.0,0.9,45,36178,226686,64235,28057
526,32,5,6,False,2019-08-31T16:30:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,2,0,25,20.8,0.0,0.0,2.1,45,82258,330807,107126,24868
526,44,13,2,True,2019-09-14T11:30:00Z,3,1,5,90,0,0,0,1,0,0,0,0,0,0,0,7,4.6,0.0,0.0,0.5,46,86099,433745,109913,23814
526,53,6,2,False,2019-09-22T15:30:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,1,0,12,12.4,0.0,0.0,1.2,46,-6934,422546,24280,31214
526,68,15,5,False,2019-09-28T11:30:00Z,0,1,7,90,0,0,1,0,0,0,0,1,0,2,0,22,15.8,0.0,0.0,1.6,46,35162,470770,56153,20991
526,74,9,2,True,2019-10-05T14:00:00Z,2,1,8,90,0,0,0,1,0,0,0,0,0,0,0,10,4.8,0.0,0.0,0.5,46,7035,479476,32847,25812
526,87,12,0,False,2019-10-20T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-72356,408110,14356,86712
526,94,17,0,True,2019-10-27T16:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-106197,303118,1526,107723
526,102,2,0,False,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-60248,244645,1451,61699
526,114,11,0,True,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-29865,215693,1028,30893
526,125,7,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-20649,196384,2087,22736
526,134,4,1,True,2019-11-30T15:00:00Z,2,1,14,12,0,0,0,1,0,0,0,0,0,2,0,5,7.0,0.0,0.0,0.7,42,-10163,187210,1709,11872
526,149,8,1,True,2019-12-04T20:15:00Z,5,2,15,90,0,0,0,2,0,0,0,0,0,2,0,13,15.4,0.0,0.0,1.5,42,16635,206719,20610,3975
526,152,3,0,False,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-6905,199168,5209,12114
526,166,18,0,True,2019-12-14T12:30:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-13032,186389,2812,15844
526,186,9,0,False,2019-12-26T20:00:00Z,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-5793,174013,1203,6996
526,194,20,0,True,2019-12-29T16:30:00Z,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-4957,169329,863,5820
526,204,15,0,True,2020-01-02T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-4852,165026,3073,7925
526,219,17,0,False,2020-01-11T17:30:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-4793,160794,3789,8582
526,224,12,0,True,2020-01-19T16:30:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-5321,155878,2376,7697
526,237,20,0,False,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-10085,144549,935,11020
526,180,19,0,False,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-10085,144549,935,11020
526,245,16,0,True,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,41,-3977,142269,1545,5522
526,257,14,0,False,2020-02-15T17:30:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2739,139871,1165,3904
526,266,19,0,True,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1321,138949,1629,2950
