element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
528,5,9,0,False,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0,0,0
528,20,12,1,True,2019-08-19T19:00:00Z,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.6,2.0,0.4,50,261,979,353,92
528,30,5,1,True,2019-08-25T15:30:00Z,1,1,3,23,0,0,0,0,0,0,0,0,0,0,0,3,1.8,1.4,6.0,0.9,50,213,1635,517,304
528,35,8,0,False,2019-09-01T13:00:00Z,3,2,4,6,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,1.3,0.0,0.0,50,186,2224,504,318
528,50,6,0,True,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-20,2598,424,444
528,54,7,1,False,2019-09-22T13:00:00Z,1,1,6,25,0,0,0,0,0,0,0,0,0,0,0,1,3.6,0.7,0.0,0.4,50,-108,2651,187,295
528,70,18,4,True,2019-09-28T14:00:00Z,2,0,7,56,0,1,0,0,0,0,0,0,0,0,0,16,23.6,21.9,21.0,6.7,50,-157,2660,131,288
528,75,11,0,False,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,104,2906,295,191
528,90,16,0,True,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-293,2663,83,376
528,96,13,1,False,2019-10-27T14:00:00Z,1,1,10,20,0,0,0,0,0,0,0,0,0,0,0,3,2.2,5.8,8.0,1.6,50,-167,2519,7,174
528,101,1,1,False,2019-11-02T15:00:00Z,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1,8.0,0.8,50,-18,2586,115,133
528,120,2,1,True,2019-11-10T14:00:00Z,2,1,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.3,6.0,0.5,50,35,2704,143,108
528,123,3,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-93,2656,123,216
528,140,15,0,True,2019-12-01T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-8,2711,96,104
528,146,19,4,True,2019-12-04T19:30:00Z,2,0,15,18,0,1,0,0,0,0,0,0,0,0,0,14,18.2,11.0,2.0,3.1,50,-32,2711,59,91
528,153,4,1,False,2019-12-08T16:30:00Z,2,2,16,13,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,2.0,0.2,50,54,2826,131,77
528,170,17,0,True,2019-12-15T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-37,2858,104,141
528,177,14,1,False,2019-12-21T15:00:00Z,1,2,18,13,0,0,0,0,0,0,0,0,0,0,0,8,6.2,15.3,18.0,4.0,50,2,2925,138,136
528,190,11,1,True,2019-12-27T19:45:00Z,3,2,19,11,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.3,6.0,0.8,50,-41,2920,63,104
528,194,10,2,False,2019-12-29T16:30:00Z,1,0,20,90,0,0,0,1,0,0,0,0,0,0,0,9,7.6,14.4,3.0,2.5,50,34,2990,114,80
528,209,18,6,False,2020-01-01T15:00:00Z,2,1,21,65,1,0,0,2,0,0,0,1,0,0,0,23,35.8,13.1,17.0,6.6,50,877,4010,1151,274
528,220,13,2,True,2020-01-11T15:00:00Z,1,1,22,84,0,0,0,1,0,0,0,0,0,0,0,7,5.2,6.3,45.0,5.7,50,3353,7673,4354,1001
528,228,16,7,False,2020-01-18T15:00:00Z,2,3,23,85,1,0,0,2,0,0,0,0,0,0,0,26,36.2,19.4,18.0,7.4,50,1273,9110,2480,1207
528,237,10,2,True,2020-01-23T20:00:00Z,1,2,24,76,0,0,0,1,0,0,0,0,0,0,0,8,3.2,7.9,24.0,3.5,50,3785,13093,5051,1266
528,246,12,1,False,2020-02-01T17:30:00Z,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,1,2.6,11.0,4.0,1.8,50,2631,15920,4809,2178
528,260,9,3,True,2020-02-14T20:00:00Z,0,0,26,63,0,0,1,0,0,0,0,0,0,0,0,7,8.4,37.0,6.0,5.1,50,-443,15532,1657,2100
528,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,950,16632,2801,1851
