element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
546,63,6,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0
546,72,17,0,True,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,986,1915,1262,276
546,81,2,0,False,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,871,3428,1345,474
546,92,8,1,True,2019-10-26T14:00:00Z,3,2,10,24,0,0,0,1,0,0,0,0,0,0,0,1,0.2,0.1,0.0,0.0,40,292,4006,739,447
546,104,14,1,True,2019-11-02T15:00:00Z,2,0,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,4.0,0.2,40,7548,13743,8956,1408
546,115,12,0,False,2019-11-10T14:00:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,5144,19808,6752,1608
546,124,9,1,True,2019-11-23T15:00:00Z,0,2,13,13,0,0,0,1,0,0,0,0,0,0,0,4,0.8,0.8,0.0,0.2,40,2901,22928,4982,2081
546,134,10,0,False,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2396,25718,4402,2006
546,141,1,0,False,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1611,27362,3085,1474
546,153,20,0,True,2019-12-08T16:30:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2435,30198,4176,1741
546,164,7,0,False,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3787,34853,6112,2325
546,173,15,0,True,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1252,37692,3717,2465
546,189,17,1,False,2019-12-26T12:30:00Z,2,1,19,82,0,0,0,2,0,0,0,0,0,0,0,11,9.2,1.5,4.0,1.5,40,1810,38707,4042,2232
546,192,3,0,True,2019-12-28T12:30:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1855,40853,3559,1704
546,202,6,0,True,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1736,38984,1925,3661
546,215,8,0,False,2020-01-11T15:00:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1476,37876,1619,3095
546,222,2,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-917,37284,1766,2683
546,232,3,0,False,2020-01-21T19:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1227,36312,879,2106
546,250,19,1,False,2020-02-01T15:00:00Z,3,3,25,18,0,0,0,0,0,0,0,0,0,0,0,5,4.2,1.3,0.0,0.6,40,-1365,34972,737,2102
546,253,18,1,True,2020-02-08T17:30:00Z,1,1,26,72,0,0,0,1,0,0,0,1,0,0,0,3,0.4,2.8,20.0,2.3,40,203,35603,1595,1392
546,268,15,2,False,2020-02-22T15:00:00Z,1,1,27,74,0,0,0,1,0,0,0,0,0,0,0,8,15.0,0.9,20.0,3.6,40,1986,38056,3523,1537
