element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
54,7,18,6,False,2019-08-10T14:00:00Z,0,3,1,90,0,1,1,0,0,0,0,0,0,0,0,26,31.6,16.3,1.0,4.9,50,0,5703,0,0
54,13,19,2,True,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,5,17.4,13.1,19.0,5.0,50,44482,71475,56294,11812
54,23,16,2,True,2019-08-24T14:00:00Z,0,2,3,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,2.7,8.0,2.4,50,-3506,65692,10874,14380
54,37,11,2,False,2019-08-31T14:00:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,15,8.6,1.4,8.0,1.8,50,-9096,57502,5197,14293
54,43,5,2,True,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,11,14.2,12.9,30.0,5.7,50,-3052,55687,5182,8234
54,58,13,3,False,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,12,17.4,44.8,6.0,6.8,50,-5464,50420,807,6271
54,63,6,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4905,45752,800,5705
54,72,17,0,True,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-9301,36432,60,9361
54,81,2,2,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,18,22.8,29.6,4.0,5.6,50,-4260,32493,106,4366
54,92,8,1,True,2019-10-26T14:00:00Z,3,2,10,90,0,0,0,2,0,0,0,1,0,0,0,12,13.8,16.9,2.0,3.3,50,-1068,31700,236,1304
54,104,14,3,True,2019-11-02T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,21,23.4,29.0,16.0,6.8,50,-1389,30370,544,1933
54,115,12,-1,False,2019-11-10T14:00:00Z,3,1,12,90,0,0,0,3,1,0,0,1,0,0,0,5,11.0,2.6,0.0,1.4,50,-886,29526,259,1145
54,124,9,2,True,2019-11-23T15:00:00Z,0,2,13,90,0,0,0,2,0,0,0,0,0,0,0,12,6.2,4.3,9.0,2.0,49,-1299,28333,274,1573
54,134,10,2,False,2019-11-30T15:00:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,17,18.6,4.8,23.0,4.6,49,-895,27535,137,1032
54,141,1,2,False,2019-12-05T20:15:00Z,1,2,15,90,0,0,0,1,0,0,0,0,0,0,0,10,7.8,3.2,7.0,1.8,49,-558,27035,170,728
54,153,20,7,True,2019-12-08T16:30:00Z,2,2,16,90,1,0,0,2,0,0,0,0,0,0,0,26,34.0,5.3,17.0,5.6,49,-576,26508,193,769
54,164,7,1,False,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,1,0,0,0,10,15.6,15.7,26.0,5.7,49,409,27102,1183,774
54,173,15,2,True,2019-12-21T15:00:00Z,0,1,18,90,0,0,0,1,0,0,0,0,0,0,0,10,8.2,13.0,22.0,4.3,49,-35,27074,772,807
54,189,17,0,False,2019-12-26T12:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-534,26567,276,810
54,192,3,3,True,2019-12-28T12:30:00Z,2,0,20,90,0,0,1,0,0,0,0,0,0,0,0,17,12.6,12.7,0.0,2.5,49,-222,26416,430,652
54,202,6,2,True,2020-01-01T12:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,12,14.2,3.2,10.0,2.7,49,-531,25922,478,1009
54,215,8,2,False,2020-01-11T15:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,8,14.8,11.3,0.0,2.6,49,-698,25273,412,1110
54,222,2,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,13,10.4,4.4,2.0,1.7,48,49,25391,898,849
54,232,3,2,False,2020-01-21T19:30:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,0,0,17,21.4,25.0,0.0,4.6,48,-150,25231,613,763
54,250,19,6,False,2020-02-01T15:00:00Z,3,3,25,90,0,1,0,3,0,0,0,0,0,0,1,28,32.6,31.8,6.0,7.0,48,-573,24705,234,807
54,253,18,3,True,2020-02-08T17:30:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,1,19,18.8,16.2,18.0,5.3,48,1548,26445,2161,613
