element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
554,76,12,0,True,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0,0,0
554,83,6,1,False,2019-10-19T14:00:00Z,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,387,732,480,93
554,96,20,1,True,2019-10-27T14:00:00Z,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,50,408,1357,571,163
554,110,19,0,False,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,505,2163,825,320
554,116,3,0,True,2019-11-09T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-46,2257,351,397
554,122,2,1,False,2019-11-25T20:00:00Z,2,0,13,18,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.0,0.0,0.2,50,109,2630,533,424
554,136,11,1,True,2019-11-30T12:30:00Z,2,2,14,21,0,0,0,1,0,0,0,0,0,0,0,2,2.0,0.3,0.0,0.2,50,42,2790,355,313
554,145,15,0,False,2019-12-05T19:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,164,3054,367,203
554,156,16,0,True,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-31,3135,277,308
554,162,5,1,False,2019-12-14T15:00:00Z,1,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,7.0,0.6,50,98,3436,488,390
554,176,7,1,True,2019-12-21T15:00:00Z,1,0,18,13,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,-104,3496,273,377
554,187,12,1,False,2019-12-26T17:30:00Z,4,1,19,58,0,0,0,4,0,0,0,0,0,0,0,-1,0.0,0.8,6.0,0.7,50,-71,3495,140,211
554,196,8,1,True,2019-12-28T15:00:00Z,1,2,20,16,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.6,2.0,0.4,50,-27,3541,164,191
554,206,9,0,True,2020-01-01T15:00:00Z,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-140,3515,177,317
554,220,20,4,False,2020-01-11T15:00:00Z,1,1,22,27,0,1,0,1,0,0,0,0,0,0,0,16,25.2,25.2,2.0,5.2,50,-242,3353,152,394
554,226,6,0,True,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-231,3137,66,297
554,233,8,0,False,2020-01-21T19:30:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-172,2982,26,198
554,247,14,0,True,2020-02-01T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-173,2812,31,204
554,251,1,0,False,2020-02-16T16:30:00Z,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-80,2743,16,96
554,264,7,1,False,2020-02-22T15:00:00Z,1,0,27,19,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.5,0.0,0.3,50,46,2819,140,94
