element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
56,7,18,0,False,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6689,0,0
56,13,19,0,True,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1481,5226,72,1553
56,23,16,0,True,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-776,4522,42,818
56,37,11,0,False,2019-08-31T14:00:00Z,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-171,4631,688,859
56,43,5,0,True,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-223,4427,487,710
56,58,13,0,False,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-129,4316,247,376
56,63,6,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,56,4447,473,417
56,72,17,0,True,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-526,3902,87,613
56,81,2,0,False,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-233,3690,84,317
56,92,8,0,True,2019-10-26T14:00:00Z,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-98,3609,61,159
56,104,14,0,True,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-164,3443,37,201
56,115,12,0,False,2019-11-10T14:00:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-96,3355,27,123
56,124,9,0,True,2019-11-23T15:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,5643,11962,7000,1357
56,134,10,0,False,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,5015,16519,7340,2325
56,141,1,0,False,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,2392,18093,4363,1971
56,153,20,0,True,2019-12-08T16:30:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,2270,20318,4711,2441
56,164,7,0,False,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,1961,22759,4601,2640
56,173,15,0,True,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2039,20205,1376,3415
56,189,17,0,False,2019-12-26T12:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-980,19184,717,1697
56,192,3,0,True,2019-12-28T12:30:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-657,18596,351,1008
56,202,6,0,True,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1386,17213,403,1789
56,215,8,0,False,2020-01-11T15:00:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1445,15776,310,1755
56,222,2,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1057,14725,215,1272
56,232,3,0,False,2020-01-21T19:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-725,14011,125,850
56,250,19,0,False,2020-02-01T15:00:00Z,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-826,13221,93,919
56,253,18,0,True,2020-02-08T17:30:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-438,12800,71,509
56,268,15,0,False,2020-02-22T15:00:00Z,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-406,12400,68,474
