element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
57,7,18,3,False,2019-08-10T14:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,11,14.8,11.3,0.0,2.6,45,0,170109,0,0
57,13,19,2,True,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,16,22.6,2.6,15.0,4.0,45,29557,231064,46998,17441
57,23,16,2,True,2019-08-24T14:00:00Z,0,2,3,77,0,0,0,1,0,0,0,0,0,0,0,18,7.6,3.3,0.0,1.1,45,-12751,218446,12441,25192
57,37,11,2,False,2019-08-31T14:00:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,10,8.2,1.8,4.0,1.4,45,-18060,202499,8200,26260
57,43,5,2,True,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,17,19.8,7.8,18.0,4.6,45,-5228,200872,14580,19808
57,58,13,3,False,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,16,20.0,25.6,9.0,5.5,45,-4268,197695,9440,13708
57,63,6,2,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,13,20.2,2.7,7.0,3.0,45,-3568,195299,10510,14078
57,72,17,2,True,2019-10-05T11:30:00Z,3,0,8,89,0,0,1,0,0,0,0,1,0,0,0,9,4.8,4.0,8.0,1.7,45,3528,199779,14706,11178
57,81,2,2,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,19,22.2,25.2,10.0,5.7,45,-860,199350,10408,11268
57,92,8,1,True,2019-10-26T14:00:00Z,3,2,10,90,0,0,0,2,0,0,0,1,0,0,0,16,15.4,4.8,0.0,2.0,45,-2063,197629,5088,7151
57,104,14,3,True,2019-11-02T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,13,10.6,15.0,1.0,2.7,45,-6539,191161,5120,11659
57,115,12,1,False,2019-11-10T14:00:00Z,3,1,12,90,0,0,0,3,0,0,0,1,0,0,0,10,18.0,2.1,0.0,2.0,45,-3217,187741,3593,6810
57,124,9,1,True,2019-11-23T15:00:00Z,0,2,13,76,0,0,0,1,0,0,0,1,0,0,0,8,5.0,4.1,0.0,0.9,45,-5708,182546,3526,9234
57,134,10,2,False,2019-11-30T15:00:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,17,9.8,14.2,0.0,2.4,45,-6812,175855,1608,8420
57,141,1,2,False,2019-12-05T20:15:00Z,1,2,15,90,0,0,0,1,0,0,0,0,0,0,0,17,23.6,22.8,0.0,4.6,45,-4295,172095,1107,5402
57,153,20,5,True,2019-12-08T16:30:00Z,2,2,16,90,0,1,0,2,0,0,0,1,0,0,1,27,35.0,14.3,3.0,5.2,44,-1581,171141,4153,5734
57,164,7,0,False,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-10459,160261,3513,13972
57,173,15,2,True,2019-12-21T15:00:00Z,0,1,18,90,0,0,0,1,0,0,0,0,0,0,0,12,10.8,16.6,0.0,2.7,44,-3387,156814,3599,6986
57,189,17,2,False,2019-12-26T12:30:00Z,2,1,19,90,0,0,0,2,0,0,0,0,0,0,0,14,20.0,12.4,1.0,3.3,44,-1123,156857,3212,4335
57,192,3,1,True,2019-12-28T12:30:00Z,2,0,20,6,0,0,0,0,0,0,0,0,0,0,0,6,5.2,0.7,0.0,0.6,44,3122,160644,6302,3180
57,202,6,0,True,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-496,160143,7183,7679
57,215,8,2,False,2020-01-11T15:00:00Z,1,0,22,71,0,0,0,1,0,0,0,0,0,0,0,9,2.8,6.7,1.0,1.1,44,-7051,153094,2170,9221
57,222,2,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,17,18.6,13.0,8.0,4.0,44,-3328,149989,2963,6291
57,232,3,2,False,2020-01-21T19:30:00Z,3,1,24,90,0,0,0,3,0,0,0,0,0,0,0,13,22.0,2.2,0.0,2.4,44,-3024,146730,2058,5082
57,250,19,1,False,2020-02-01T15:00:00Z,3,3,25,90,0,0,0,3,0,0,0,1,0,0,0,11,18.4,13.3,1.0,3.3,44,-4301,142820,1518,5819
57,253,18,0,True,2020-02-08T17:30:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1490,141536,1863,3353
