element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
79,2,15,0,True,2019-08-10T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,369,0,0
79,12,2,0,False,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-49,398,25,74
79,22,11,0,True,2019-08-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-50,370,14,64
79,36,9,0,False,2019-08-31T14:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-18,363,21,39
79,42,8,2,True,2019-09-15T13:00:00Z,3,1,5,76,0,0,0,1,0,0,0,0,0,0,0,8,7.2,1.0,0.0,0.8,50,-23,346,16,39
79,59,16,1,False,2019-09-20T19:00:00Z,1,3,6,13,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.1,0.0,0.1,50,662,1166,765,103
79,62,19,1,True,2019-09-28T14:00:00Z,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.2,0.0,0.1,50,181,1460,390,209
79,71,1,0,False,2019-10-06T13:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1,1569,251,252
79,82,14,3,True,2019-10-19T14:00:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,11,15.2,3.0,0.0,1.8,50,11,1687,222,211
79,99,18,0,False,2019-10-26T14:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,153,1919,332,179
79,103,12,1,True,2019-11-02T12:30:00Z,1,0,11,4,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,50,-40,1987,266,306
79,116,13,2,False,2019-11-09T15:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,18,26.2,15.3,10.0,5.2,50,71,2151,298,227
79,123,20,2,True,2019-11-23T15:00:00Z,1,2,13,75,0,0,0,2,0,0,0,0,0,0,0,12,10.4,9.1,8.0,2.8,50,127,2412,373,246
79,139,17,5,False,2019-11-30T15:00:00Z,3,2,14,73,0,1,0,3,0,0,0,0,0,0,0,29,16.6,45.1,7.0,6.9,50,-27,2422,216,243
79,148,7,1,False,2019-12-03T19:30:00Z,1,0,15,8,0,0,0,0,0,0,0,0,0,0,0,3,3.6,1.7,0.0,0.5,50,173,2662,321,148
79,152,10,1,True,2019-12-07T15:00:00Z,0,3,16,32,0,0,0,0,0,0,0,0,0,0,0,3,2.0,11.3,0.0,1.3,50,-53,2644,181,234
79,163,6,2,False,2019-12-14T15:00:00Z,0,1,17,90,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,2.2,6.0,0.7,50,-60,2662,198,258
79,172,5,1,True,2019-12-21T15:00:00Z,0,1,18,45,0,0,0,0,0,0,0,0,0,0,0,-1,2.2,1.8,0.0,0.4,50,260,3090,461,201
79,182,1,1,True,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,1,0,0,0,8,9.6,3.4,2.0,1.5,50,-70,3002,177,247
79,192,4,1,False,2019-12-28T12:30:00Z,2,0,20,17,0,0,0,1,0,0,0,0,0,0,0,1,5.4,0.7,1.0,0.7,50,118,3184,294,176
79,210,19,1,False,2020-01-01T17:30:00Z,4,0,21,90,0,0,0,4,0,0,0,1,0,0,0,14,15.8,6.4,2.0,2.4,50,-80,3141,257,337
79,212,18,1,True,2020-01-12T14:00:00Z,0,3,22,31,0,0,0,2,0,0,0,0,0,0,0,2,2.0,2.0,8.0,1.2,50,-93,3130,220,313
79,227,14,1,False,2020-01-18T15:00:00Z,1,0,23,4,0,0,0,0,0,0,0,0,0,0,0,5,5.0,0.2,0.0,0.5,50,21,3220,291,270
79,232,4,1,True,2020-01-21T19:30:00Z,3,1,24,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,-72,3168,139,211
79,241,2,0,True,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-75,3139,144,219
79,258,15,0,False,2020-02-09T14:00:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-48,3126,99,147
79,262,5,0,False,2020-02-22T15:00:00Z,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-58,3126,127,185
