element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
84,3,16,6,True,2019-08-10T14:00:00Z,3,0,1,90,0,0,1,0,0,0,0,0,0,0,0,23,18.0,0.2,36.0,5.4,50,0,96554,0,0
84,11,1,1,False,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,7,11.6,0.1,26.0,3.8,50,-2362,106328,4485,6847
84,30,20,1,False,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,1,0,0,0,15,33.6,0.5,21.0,5.5,50,-3526,105756,4665,8191
84,32,10,1,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,9,19.6,0.6,8.0,2.8,50,-4474,102910,3856,8330
84,43,4,2,False,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,10,12.4,10.3,2.0,2.5,50,4987,110483,13310,8323
84,52,14,6,True,2019-09-21T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,23,15.4,0.0,0.0,1.5,50,-1853,109083,3319,5172
84,61,2,0,False,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,1,0,0,0,10,27.0,0.3,7.0,3.4,50,992,111013,5031,4039
84,73,8,9,True,2019-10-05T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,3,30,26.0,10.4,6.0,4.2,50,-3989,107175,1871,5860
84,86,9,1,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,16,27.8,10.3,0.0,3.8,50,3875,112853,7649,3774
84,93,6,0,True,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,4,0,0,0,0,0,0,0,25,25.8,10.8,4.0,4.1,50,-1417,111454,1975,3392
84,108,15,0,False,2019-11-02T15:00:00Z,3,0,11,90,0,0,0,3,0,0,0,1,0,0,0,11,20.4,0.3,0.0,2.1,50,-1922,110004,3462,5384
84,111,19,12,True,2019-11-09T15:00:00Z,3,0,12,90,0,1,1,0,0,0,0,0,0,0,3,33,30.8,10.3,4.0,4.5,50,-5349,105179,1690,7039
84,129,18,17,False,2019-11-23T15:00:00Z,0,3,13,90,1,1,1,0,0,0,0,1,0,0,3,34,57.8,0.3,90.0,14.8,50,13787,122157,17888,4101
84,131,7,1,True,2019-11-30T15:00:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,0,0,13,7.0,0.3,11.0,1.8,51,123325,257626,129133,5808
84,142,11,0,True,2019-12-03T20:15:00Z,1,4,15,90,0,0,0,4,0,0,0,0,0,0,0,10,21.4,0.3,4.0,2.6,51,4927,255484,24117,19190
84,158,17,0,False,2019-12-07T15:00:00Z,5,0,16,90,0,0,0,5,0,0,0,0,0,0,0,20,23.6,10.2,4.0,3.8,51,9525,267778,30593,21068
84,162,13,6,True,2019-12-14T15:00:00Z,1,0,17,90,0,0,1,0,0,0,0,0,0,0,0,24,25.8,0.1,7.0,3.3,51,2015,272145,27954,25939
84,172,3,6,False,2019-12-21T15:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,21,14.6,0.1,6.0,2.1,51,33145,329232,42861,9716
84,185,8,2,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,13,33.2,0.2,0.0,3.3,51,11310,321790,22327,11017
84,193,12,1,True,2019-12-28T19:45:00Z,0,2,20,90,0,0,0,2,0,0,0,0,0,0,0,10,10.8,0.3,6.0,1.7,51,-10810,310152,8197,19007
84,203,2,0,True,2020-01-01T12:30:00Z,1,2,21,90,0,0,0,2,0,0,0,1,0,0,0,10,11.8,11.2,28.0,5.1,51,22875,336610,44891,22016
84,213,6,1,False,2020-01-11T15:00:00Z,3,0,22,90,0,0,0,3,0,0,0,0,0,0,0,11,16.4,0.1,0.0,1.7,51,-44937,290532,5937,50874
84,223,9,2,True,2020-01-19T14:00:00Z,2,1,23,90,0,0,0,1,0,0,0,0,0,0,0,13,26.6,0.4,2.0,2.9,51,-31096,259941,2704,33800
84,235,12,6,False,2020-01-22T20:15:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,0,26,30.6,10.4,2.0,4.3,51,-20564,236986,2706,23270
84,242,1,5,True,2020-02-02T14:00:00Z,0,0,25,90,0,0,1,0,0,0,0,1,0,0,0,19,18.6,0.9,10.0,3.0,51,-865,240601,11842,12707
84,259,16,0,False,2020-02-15T12:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,8612,250033,16793,8181
