element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
85,3,16,6,True,2019-08-10T14:00:00Z,3,0,1,90,0,0,1,0,0,0,0,0,0,0,0,23,14.2,15.3,2.0,3.2,45,0,16279,0,0
85,11,1,1,False,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,0,0,12,10.2,15.4,1.0,2.7,45,707,20927,2336,1629
85,30,20,2,False,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,13,31.6,29.6,0.0,6.1,45,1983,24396,4941,2958
85,32,10,1,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,11,10.6,14.1,0.0,2.5,45,4264,29711,8458,4194
85,43,4,2,False,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,12,23.2,1.8,2.0,2.7,45,19089,50491,25349,6260
85,52,14,6,True,2019-09-21T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,18.6,40.0,2.0,6.1,45,7940,58515,12233,4293
85,61,2,4,False,2019-09-28T14:00:00Z,2,2,7,90,0,1,0,2,0,0,0,0,0,0,0,22,32.8,15.3,2.0,5.0,45,6870,66270,11234,4364
85,73,8,6,True,2019-10-05T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,23,15.0,4.9,2.0,2.2,45,3955,71146,6914,2959
85,86,9,0,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,1,0,0,0,15,16.0,17.3,2.0,3.5,45,6772,78842,13027,6255
85,93,6,0,True,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,4,0,0,0,0,0,0,0,16,25.4,13.0,2.0,4.0,45,-1030,77616,2751,3781
85,108,15,1,False,2019-11-02T15:00:00Z,3,0,11,90,0,0,0,3,0,0,0,0,0,0,0,10,14.0,3.8,0.0,1.8,45,963,79064,5025,4062
85,111,19,0,True,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2076,77381,2477,4553
85,129,18,0,False,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-8788,68386,1080,9868
85,131,7,0,True,2019-11-30T15:00:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11941,56587,656,12597
85,142,11,0,True,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6548,50277,118,6666
85,158,17,-1,False,2019-12-07T15:00:00Z,5,0,16,90,0,0,0,5,0,0,0,1,0,0,0,4,15.2,1.6,0.0,1.7,45,-7033,43396,111,7144
85,162,13,0,True,2019-12-14T15:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2593,40965,554,3147
85,172,3,0,False,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3676,36973,159,3835
85,185,8,0,False,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2347,35114,266,2613
85,193,12,0,True,2019-12-28T19:45:00Z,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2139,33059,186,2325
85,203,2,0,True,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1979,31213,716,2695
85,213,6,1,False,2020-01-11T15:00:00Z,3,0,22,90,0,0,0,3,0,0,0,0,0,0,0,5,13.0,0.6,0.0,1.4,42,-717,30688,1602,2319
