element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
91,3,16,2,True,2019-08-10T14:00:00Z,3,0,1,90,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,0.7,8.0,0.8,65,0,99872,0,0
91,11,1,2,False,2019-08-17T11:30:00Z,2,1,2,60,0,0,0,1,0,0,0,0,0,0,0,6,1.4,12.8,8.0,2.2,65,-19415,82910,1717,21132
91,30,20,2,False,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,4,9.4,13.8,65.0,8.8,64,-23835,60327,3531,27366
91,32,10,0,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,1,0,0,0,0,0,0,-4,0.0,13.2,17.0,2.9,63,-17050,44380,1994,19044
91,43,4,2,False,2019-09-14T14:00:00Z,1,1,5,65,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.4,6.0,0.3,63,-1197,44860,9452,10649
91,52,14,13,True,2019-09-21T14:00:00Z,2,0,6,90,2,0,1,0,0,0,0,0,0,0,3,53,72.6,14.4,111.0,19.8,63,-5171,39978,2415,7586
91,61,2,7,False,2019-09-28T14:00:00Z,2,2,7,90,1,0,0,2,0,0,0,0,0,0,1,25,33.6,1.3,37.0,7.2,62,18088,60936,23966,5878
91,73,8,2,True,2019-10-05T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,5,2.4,1.1,8.0,1.2,62,29628,93127,36120,6492
91,86,9,5,False,2019-10-19T14:00:00Z,2,1,9,90,1,0,0,2,0,0,0,1,0,0,0,12,45.2,17.7,56.0,11.9,62,-8617,83201,8001,16618
91,93,6,0,True,2019-10-26T16:30:00Z,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,8459,93257,19231,10772
91,108,15,0,False,2019-11-02T15:00:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-19733,72869,2272,22005
91,111,19,6,True,2019-11-09T15:00:00Z,3,0,12,90,1,0,1,0,0,0,0,0,0,0,0,14,38.2,1.3,77.0,11.7,62,-13994,59088,754,14748
91,129,18,7,False,2019-11-23T15:00:00Z,0,3,13,74,1,0,1,0,0,0,0,0,0,0,1,32,42.0,11.8,35.0,8.9,62,12967,74207,17539,4572
91,131,7,2,True,2019-11-30T15:00:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,0,0,-5,4.6,15.6,57.0,7.7,62,23387,98471,27203,3816
91,142,11,1,True,2019-12-03T20:15:00Z,1,4,15,58,0,0,0,2,0,0,0,0,0,0,0,2,1.2,11.6,4.0,1.7,62,-8103,89430,3926,12029
91,158,17,2,False,2019-12-07T15:00:00Z,5,0,16,64,0,0,0,4,0,0,0,0,0,0,0,1,0.0,1.7,34.0,3.5,62,-10686,78976,3036,13722
91,162,13,9,True,2019-12-14T15:00:00Z,1,0,17,84,1,0,1,0,0,0,0,0,0,0,3,27,30.6,3.4,57.0,9.1,62,-10050,69349,4366,14416
91,172,3,2,False,2019-12-21T15:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,1.7,2.0,0.0,62,2615,72502,8738,6123
91,185,8,2,False,2019-12-26T15:00:00Z,1,0,19,73,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.8,15.0,1.2,62,-1175,72014,4288,5463
91,193,12,2,True,2019-12-28T19:45:00Z,0,2,20,90,0,0,0,2,0,0,0,0,0,0,0,0,1.6,2.1,4.0,0.8,62,-3428,68740,2360,5788
91,203,2,7,True,2020-01-01T12:30:00Z,1,2,21,90,1,0,0,2,0,0,0,0,0,0,1,24,28.8,24.3,54.0,10.7,62,2062,71575,9847,7785
91,213,6,2,False,2020-01-11T15:00:00Z,3,0,22,90,0,0,0,3,0,0,0,0,0,0,0,1,3.6,13.1,36.0,5.3,62,-6008,65811,5938,11946
91,223,9,7,True,2020-01-19T14:00:00Z,2,1,23,90,1,0,0,1,0,0,0,0,0,0,1,28,30.4,2.2,55.0,8.8,62,-4860,61281,3237,8097
91,235,12,12,False,2020-01-22T20:15:00Z,0,2,24,90,1,1,1,0,0,0,0,0,0,0,3,38,53.4,13.2,21.0,8.8,62,1983,63684,5485,3502
91,242,1,2,True,2020-02-02T14:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,8,11.4,43.5,20.0,7.5,62,68392,136284,78780,10388
91,259,16,1,False,2020-02-15T12:30:00Z,1,2,26,21,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,62,25121,160159,39269,14148
91,262,3,0,True,2020-02-22T15:00:00Z,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-44584,115092,7523,52107
