element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
93,3,16,8,True,2019-08-10T14:00:00Z,3,0,1,90,0,0,1,0,0,0,0,0,0,3,1,28,25.6,10.0,0.0,3.6,45,0,344271,0,0
93,11,1,3,False,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,2,0,0,0,0,0,7,0,24,54.0,10.3,2.0,6.6,45,55141,457584,82331,27190
93,30,20,2,False,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,2,0,14,9.4,0.0,0.0,0.9,45,90981,573817,127275,36294
93,32,10,2,True,2019-08-31T16:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,5,0,23,32.2,0.0,0.0,3.2,45,99178,693050,143033,43855
93,43,4,3,False,2019-09-14T14:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,4,0,19,31.4,0.0,0.0,3.1,46,153960,870790,183463,29503
93,52,14,6,True,2019-09-21T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,2,0,24,15.0,0.0,0.0,1.5,46,40882,909245,62455,21573
93,61,2,1,False,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,1,0,10,6.6,0.0,0.0,0.7,46,75141,993837,91322,16181
93,73,8,7,True,2019-10-05T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,2,1,25,14.4,0.0,0.0,1.4,46,29005,1025339,45631,16626
93,86,9,1,False,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,1,0,8,6.0,0.0,0.0,0.6,47,22182,1049042,49779,27597
93,93,6,1,True,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,4,0,0,0,0,0,3,0,14,21.6,0.0,0.0,2.2,47,-8201,1041606,13419,21620
93,108,15,2,False,2019-11-02T15:00:00Z,3,0,11,90,0,0,0,3,0,0,0,0,0,3,0,16,26.8,0.0,0.0,2.7,47,-11352,1032242,14434,25786
93,111,19,9,True,2019-11-09T15:00:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,4,2,29,26.4,0.0,0.0,2.6,47,-15164,1017885,13527,28691
93,129,18,9,False,2019-11-23T15:00:00Z,0,3,13,90,0,0,1,0,0,0,0,0,0,4,2,33,28.4,10.0,0.0,3.8,47,35322,1061190,51282,15960
93,131,7,1,True,2019-11-30T15:00:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,1,0,11,5.8,0.0,0.0,0.6,47,52977,1121897,63261,10284
93,142,11,1,True,2019-12-03T20:15:00Z,1,4,15,90,0,0,0,4,0,0,0,0,0,4,0,17,25.8,0.0,0.0,2.6,47,-46174,1070791,16688,62862
93,158,17,0,False,2019-12-07T15:00:00Z,5,0,16,90,0,0,0,5,0,0,0,0,0,2,0,14,16.8,0.0,0.0,1.7,47,-17728,1056534,16452,34180
93,162,13,6,True,2019-12-14T15:00:00Z,1,0,17,90,0,0,1,0,0,0,0,0,0,0,0,21,1.6,0.0,0.0,0.2,47,-9708,1050117,20739,30447
93,172,3,7,False,2019-12-21T15:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,1,22,2.4,0.0,0.0,0.2,47,-3268,1040881,13154,16422
93,185,8,3,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,4,0,18,33.8,0.0,0.0,3.4,47,-3233,1047032,14424,17657
93,193,12,1,True,2019-12-28T19:45:00Z,0,2,20,90,0,0,0,2,0,0,0,0,0,2,0,13,14.4,0.0,0.0,1.4,47,-17091,1030760,9081,26172
93,203,2,2,True,2020-01-01T12:30:00Z,1,2,21,90,0,0,0,2,0,0,0,0,0,4,0,16,29.8,0.0,0.0,3.0,47,7218,1043045,35468,28250
93,213,6,2,False,2020-01-11T15:00:00Z,3,0,22,90,0,0,0,3,0,0,0,0,0,5,0,16,32.4,0.0,0.0,3.2,47,-82762,960036,12408,95170
