element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
94,6,17,2,False,2019-08-10T16:30:00Z,3,1,1,90,0,0,0,3,0,0,0,0,0,3,0,15,24.2,0.0,0.0,2.4,45,0,368460,0,0
94,12,3,1,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,2,0,7,12.2,0.0,0.0,1.2,45,21575,421787,40561,18986
94,21,8,6,True,2019-08-23T19:00:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,1,0,23,11.4,0.0,0.0,1.1,45,-23240,400918,13782,37022
94,34,7,3,False,2019-08-31T14:00:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,4,0,16,24.0,0.0,0.0,2.4,45,37564,450357,63932,26368
94,41,19,6,True,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,1,0,22,6.8,0.0,0.0,0.7,45,-4250,448344,25191,29441
94,51,1,2,False,2019-09-22T15:30:00Z,3,2,6,90,0,0,0,3,0,0,0,0,0,3,0,14,21.8,0.0,0.0,2.2,45,-1781,448508,16806,18587
94,61,5,1,True,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,1,0,9,6.4,0.0,0.0,0.6,45,15585,469427,31500,15915
94,77,14,3,False,2019-10-05T14:00:00Z,1,5,8,90,0,0,0,1,0,0,0,0,0,4,0,16,28.2,0.0,0.0,2.8,45,-6383,461480,7823,14206
94,81,4,3,True,2019-10-19T14:00:00Z,2,1,9,90,0,0,0,1,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,45,-15680,447272,8823,24503
94,95,11,2,False,2019-10-26T11:30:00Z,3,0,10,90,0,0,0,3,0,0,0,0,0,5,0,21,48.4,0.0,0.0,4.8,45,-16506,431345,3718,20224
94,102,10,2,True,2019-11-02T15:00:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,4,0,17,28.6,0.0,0.0,2.9,45,-12640,419470,3829,16469
94,120,20,0,False,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4160,415750,5261,9421
94,122,13,7,True,2019-11-25T20:00:00Z,2,0,13,90,0,0,1,0,0,0,0,0,0,5,0,32,34.4,0.0,0.0,3.4,45,-22195,393493,5190,27385
94,135,12,0,False,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,1,0,0,0,0,5,0,15,38.2,0.0,0.0,3.8,45,-7907,387187,3702,11609
94,147,6,3,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,7,0,22,51.2,0.3,0.0,5.2,45,-7883,380055,2801,10684
94,151,9,1,True,2019-12-08T14:00:00Z,1,4,16,90,0,0,0,4,0,0,0,0,0,4,0,19,37.0,0.0,0.0,3.7,45,-2743,378267,4980,7723
94,168,15,1,False,2019-12-14T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,1,0,11,11.8,0.0,0.0,1.2,45,904,379934,8621,7717
94,171,16,2,True,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,3,0,0,0,0,0,5,0,20,30.0,0.0,0.0,3.0,45,3355,385528,10474,7119
94,181,14,10,True,2019-12-26T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,5,3,30,38.2,0.0,0.0,3.8,45,-4383,380246,5803,10186
94,199,18,2,False,2019-12-28T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,0,3,0,14,22.8,0.0,0.0,2.3,45,7998,389946,13100,5102
94,203,5,2,False,2020-01-01T12:30:00Z,1,2,21,84,0,0,0,1,0,0,0,0,0,0,0,7,1.6,0.0,0.0,0.2,45,-603,389686,14841,15444
94,211,11,0,True,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-87840,300817,1785,89625
