element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
96,3,16,9,True,2019-08-10T14:00:00Z,3,0,1,90,1,0,1,0,0,0,0,0,0,0,1,28,44.2,33.1,22.0,9.9,60,0,15688,0,0
96,11,1,2,False,2019-08-17T11:30:00Z,2,1,2,71,0,0,0,2,0,0,0,0,0,0,0,15,20.4,63.1,4.0,8.8,60,50832,115765,64091,13259
96,30,20,3,False,2019-08-25T15:30:00Z,1,1,3,65,0,0,1,0,0,0,0,0,0,0,0,8,3.2,11.2,20.0,3.4,60,-9018,106007,12501,21519
96,32,10,0,True,2019-08-31T16:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-28829,76839,1472,30301
96,43,4,0,False,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-20105,57883,256,20361
96,52,14,0,True,2019-09-21T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-8396,50454,126,8522
96,61,2,0,False,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-4895,45781,333,5228
96,73,8,3,True,2019-10-05T14:00:00Z,1,0,8,83,0,0,1,0,0,0,0,0,0,0,0,7,6.6,6.3,33.0,4.6,59,-2212,43853,242,2454
96,86,9,0,False,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-2813,41107,122,2935
96,93,6,0,True,2019-10-26T16:30:00Z,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-2476,38703,24,2500
96,108,15,0,False,2019-11-02T15:00:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-2386,36314,16,2402
96,111,19,0,True,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1187,35177,7,1194
96,129,18,0,False,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1249,33917,8,1257
96,131,7,0,True,2019-11-30T15:00:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-543,33406,8,551
96,142,11,0,True,2019-12-03T20:15:00Z,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-387,33040,9,396
96,158,17,0,False,2019-12-07T15:00:00Z,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-421,32627,6,427
96,162,13,0,True,2019-12-14T15:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-526,32091,23,549
96,172,3,0,False,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-371,31726,3,374
96,185,8,1,False,2019-12-26T15:00:00Z,1,0,19,22,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,59,-91,31699,71,162
96,193,12,1,True,2019-12-28T19:45:00Z,0,2,20,22,0,0,0,1,0,0,0,0,0,0,0,4,4.2,14.8,3.0,2.2,59,-25,31713,68,93
96,203,2,1,True,2020-01-01T12:30:00Z,1,2,21,45,0,0,0,0,0,0,0,0,0,0,0,2,4.6,27.8,10.0,4.2,59,32,31827,201,169
96,213,6,0,False,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-337,31517,44,381
