,first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,points_per_million,points_per_minute,full_name
0,Shkodran,Mustafi,1,Mustafi,51,-4,2,0.4,1,3,25,530,0,2,2,7,0,0,0,1,125,0.49019607843137253,0.04716981132075472,Shkodran Mustafi
1,Héctor,Bellerín,2,Bellerín,54,-1,2,1.1,1,3,23,532,1,0,2,8,2,0,0,3,102,0.42592592592592593,0.043233082706766915,Héctor Bellerín
2,Sead,Kolasinac,3,Kolasinac,52,-3,2,0.5,1,3,34,1086,0,2,2,18,3,0,0,1,219,0.6538461538461539,0.03130755064456722,Sead Kolasinac
3,Ainsley,Maitland-Niles,4,Maitland-Niles,46,-4,2,2.4,1,3,36,1210,0,2,3,19,3,1,0,3,216,0.782608695652174,0.02975206611570248,Ainsley Maitland-Niles
4,Sokratis,Papastathopoulos,5,Sokratis,49,-1,2,1.3,1,3,52,1606,2,0,3,25,5,0,0,5,286,1.0612244897959184,0.0323785803237858,Sokratis Papastathopoulos
5,Nacho,Monreal,6,Monreal,50,0,2,0.2,1,3,10,270,0,0,1,4,0,0,0,1,54,0.2,0.037037037037037035,Nacho Monreal
6,Laurent,Koscielny,7,Koscielny,50,0,2,0.1,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Laurent Koscielny
7,Konstantinos,Mavropanos,8,Mavropanos,44,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Konstantinos Mavropanos
8,Carl,Jenkinson,9,Jenkinson,45,0,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Carl Jenkinson
9,Rob,Holding,10,Holding,45,0,2,0.1,1,3,2,85,0,0,0,3,0,0,0,0,13,0.044444444444444446,0.023529411764705882,Rob Holding
10,Pierre-Emerick,Aubameyang,11,Aubameyang,109,-1,4,18.1,1,3,137,2123,15,3,6,31,3,1,0,26,526,1.2568807339449541,0.0645313235986811,Pierre-Emerick Aubameyang
11,Alexandre,Lacazette,12,Lacazette,93,-2,4,2.2,1,3,71,1280,6,4,3,18,5,0,0,7,245,0.7634408602150538,0.05546875,Alexandre Lacazette
12,Edward,Nketiah,13,Nketiah,43,-2,4,0.7,1,3,4,101,0,0,1,1,0,0,0,0,6,0.09302325581395349,0.039603960396039604,Edward Nketiah
13,Bernd,Leno,14,Leno,50,0,1,5.2,1,3,95,2340,0,0,6,34,2,0,95,6,513,1.9,0.0405982905982906,Bernd Leno
14,Mesut,Özil,15,Özil,72,-3,3,1.2,1,3,45,1270,1,2,4,18,1,0,0,1,220,0.625,0.03543307086614173,Mesut Özil
15,Henrikh,Mkhitaryan,16,Mkhitaryan,68,-2,3,0.8,1,3,4,110,0,0,1,0,1,0,0,0,3,0.058823529411764705,0.03636363636363636,Henrikh Mkhitaryan
16,Granit,Xhaka,18,Xhaka,51,-4,3,0.6,1,3,42,1724,0,1,6,23,7,0,0,0,262,0.8235294117647058,0.024361948955916472,Granit Xhaka
17,Lucas,Torreira,19,Torreira,47,-3,3,1.2,1,3,43,1351,1,1,3,20,4,0,0,0,235,0.9148936170212766,0.03182827535159141,Lucas Torreira
18,Mohamed,Elneny,20,Elneny,43,-2,3,0.6,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Mohamed Elneny
19,Matteo,Guendouzi,21,Guendouzi,43,-2,3,5.7,1,3,43,1580,0,2,3,27,6,0,0,2,248,1.0,0.02721518987341772,Matteo Guendouzi
20,David,Luiz Moreira Marinho,106,David Luiz,57,-3,2,4.9,1,3,68,2005,2,0,5,30,4,1,0,9,363,1.1929824561403508,0.03391521197007481,David Luiz Moreira Marinho
21,Emiliano,Martínez,427,Martínez,43,-2,1,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,Emiliano Martínez
22,Calum,Chambers,467,Chambers,44,-1,2,0.6,1,3,42,1102,1,1,3,15,5,0,0,5,197,0.9545454545454546,0.038112522686025406,Calum Chambers
23,Daniel,Ceballos Fernández,469,Ceballos,52,-3,3,3.0,1,3,30,740,0,2,2,10,0,0,0,3,142,0.5769230769230769,0.04054054054054054,Daniel Ceballos Fernández
24,Cédric,Soares,486,Cédric,48,-2,2,0.2,1,3,43,1306,0,1,3,18,1,0,0,3,222,0.8958333333333334,0.032924961715160794,Cédric Soares
25,Nicolas,Pépé,488,Pépé,92,-3,3,3.5,1,3,80,1429,4,5,3,23,3,0,0,8,284,0.8695652173913043,0.05598320503848846,Nicolas Pépé
26,Reiss,Nelson,489,Nelson,53,-2,3,0.1,1,3,18,437,0,1,2,4,1,0,0,0,56,0.33962264150943394,0.041189931350114416,Reiss Nelson
27,Joseph,Willock,490,Willock,47,-3,3,0.2,1,3,23,573,0,0,1,11,1,0,0,0,95,0.48936170212765956,0.04013961605584642,Joseph Willock
