first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Shkodran,Mustafi,1,Mustafi,51,-4,2,0.4,1,3,25,530,0,2,2,7,0,0,0,1,125
Héctor,Bellerín,2,Bellerín,54,-1,2,1.1,1,3,23,532,1,0,2,8,2,0,0,3,102
Sead,Kolasinac,3,Kolasinac,52,-3,2,0.5,1,3,34,1086,0,2,2,18,3,0,0,1,219
Ainsley,Maitland-Niles,4,Maitland-Niles,46,-4,2,2.4,1,3,36,1210,0,2,3,19,3,1,0,3,216
Sokratis,Papastathopoulos,5,Sokratis,49,-1,2,1.3,1,3,52,1606,2,0,3,25,5,0,0,5,286
Nacho,Monreal,6,Monreal,50,0,2,0.2,1,3,10,270,0,0,1,4,0,0,0,1,54
Laurent,Koscielny,7,Koscielny,50,0,2,0.1,1,3,0,0,0,0,0,0,0,0,0,0,0
Konstantinos,Mavropanos,8,Mavropanos,44,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,9,Jenkinson,45,0,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Rob,Holding,10,Holding,45,0,2,0.1,1,3,2,85,0,0,0,3,0,0,0,0,13
Pierre-Emerick,Aubameyang,11,Aubameyang,109,-1,4,18.1,1,3,137,2123,15,3,6,31,3,1,0,26,526
Alexandre,Lacazette,12,Lacazette,93,-2,4,2.2,1,3,71,1280,6,4,3,18,5,0,0,7,245
Edward,Nketiah,13,Nketiah,43,-2,4,0.7,1,3,4,101,0,0,1,1,0,0,0,0,6
Bernd,Leno,14,Leno,50,0,1,5.2,1,3,95,2340,0,0,6,34,2,0,95,6,513
Mesut,Özil,15,Özil,72,-3,3,1.2,1,3,45,1270,1,2,4,18,1,0,0,1,220
Henrikh,Mkhitaryan,16,Mkhitaryan,68,-2,3,0.8,1,3,4,110,0,0,1,0,1,0,0,0,3
Granit,Xhaka,18,Xhaka,51,-4,3,0.6,1,3,42,1724,0,1,6,23,7,0,0,0,262
Lucas,Torreira,19,Torreira,47,-3,3,1.2,1,3,43,1351,1,1,3,20,4,0,0,0,235
Mohamed,Elneny,20,Elneny,43,-2,3,0.6,1,3,0,0,0,0,0,0,0,0,0,0,0
Matteo,Guendouzi,21,Guendouzi,43,-2,3,5.7,1,3,43,1580,0,2,3,27,6,0,0,2,248
David,Luiz Moreira Marinho,106,David Luiz,57,-3,2,4.9,1,3,68,2005,2,0,5,30,4,1,0,9,363
Emiliano,Martínez,427,Martínez,43,-2,1,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0
Calum,Chambers,467,Chambers,44,-1,2,0.6,1,3,42,1102,1,1,3,15,5,0,0,5,197
Daniel,Ceballos Fernández,469,Ceballos,52,-3,3,3.0,1,3,30,740,0,2,2,10,0,0,0,3,142
Cédric,Soares,486,Cédric,48,-2,2,0.2,1,3,43,1306,0,1,3,18,1,0,0,3,222
Nicolas,Pépé,488,Pépé,92,-3,3,3.5,1,3,80,1429,4,5,3,23,3,0,0,8,284
Reiss,Nelson,489,Nelson,53,-2,3,0.1,1,3,18,437,0,1,2,4,1,0,0,0,56
Joseph,Willock,490,Willock,47,-3,3,0.2,1,3,23,573,0,0,1,11,1,0,0,0,95
Gabriel Teodoro,Martinelli Silva,504,Martinelli,46,1,4,3.9,1,3,39,656,3,1,2,9,1,0,0,5,129
Kieran,Tierney,515,Tierney,53,-2,2,0.3,1,3,5,296,0,0,0,6,1,0,0,0,51
Bukayo,Saka,541,Saka,45,0,3,1.1,1,3,33,1010,0,3,3,10,4,0,0,0,140
Emile,Smith Rowe,576,Smith Rowe,43,-2,3,0.0,1,3,4,96,0,0,1,0,0,0,0,0,13
Tyreece,John-Jules,585,John-Jules,45,0,4,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Pablo,Marí,617,Marí,49,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Ahmed,El Mohamady,22,El Mohamady,42,-3,2,0.9,2,7,19,701,0,1,1,24,0,0,0,5,154
James,Chester,23,Chester,43,-2,2,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0
Neil,Taylor,24,Taylor,43,-2,2,0.2,2,7,17,793,0,0,2,19,2,0,0,0,113
Kortney,Hause,25,Hause,44,-1,2,0.1,2,7,15,990,0,0,1,24,2,0,0,0,121
Jonathan,Kodjia,26,Kodjia,54,-1,4,0.1,2,7,5,111,0,0,0,6,1,0,0,0,14
Ørjan,Nyland,27,Nyland,43,-2,1,0.2,2,7,3,177,0,0,0,8,0,0,8,0,34
Conor,Hourihane,28,Hourihane,57,-3,3,0.1,2,7,51,874,3,2,2,24,3,0,0,6,200
Jack,Grealish,29,Grealish,67,7,3,25.5,2,7,116,2243,7,7,4,48,7,0,0,15,473
Anwar,El Ghazi,30,El Ghazi,55,0,3,0.9,2,7,78,1646,4,5,4,38,3,0,0,0,235
John,McGinn,31,McGinn,54,-1,3,2.7,2,7,61,1537,3,2,3,30,2,0,0,4,253
Andre,Green,32,Green,48,-2,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Birkir,Bjarnason,33,Bjarnason,45,0,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Keinan,Davis,34,Davis,43,-2,3,0.2,2,7,10,106,0,1,0,1,0,0,0,0,29
Henri,Lansbury,35,Lansbury,44,-1,3,0.4,2,7,11,189,0,0,0,6,0,0,0,0,34
José Ignacio,Peleteiro Romallo,36,Jota,58,-2,3,0.1,2,7,15,310,0,1,2,4,0,0,0,0,41
Tom,Heaton,94,Heaton,44,-1,1,2.7,2,7,59,1794,0,0,4,35,0,0,67,3,346
Daniel,Drinkwater,120,Drinkwater,44,-1,3,0.6,2,7,6,317,0,0,0,11,1,0,0,0,32
Matt,Targett,309,Targett,44,-1,2,0.9,2,7,60,1598,1,3,3,31,3,0,0,10,332
Wesley,Moraes,428,Wesley,55,-5,4,0.9,2,7,67,1782,5,1,6,31,3,0,0,7,180
Jed,Steer,429,Steer,43,-2,1,0.1,2,7,1,7,0,0,0,0,0,0,0,0,3
Tyrone,Mings,445,Mings,45,0,2,2.7,2,7,56,1912,2,1,3,38,5,0,0,5,362
Ezri,Konsa Ngoyo,452,Konsa,43,-2,2,0.1,2,7,30,1198,0,2,2,29,1,0,0,1,198
Bjorn,Engels,455,Engels,44,-1,2,0.5,2,7,42,1356,1,0,3,28,1,0,0,4,242
Frédéric,Guilbert,458,Guilbert,44,-1,2,0.5,2,7,48,1808,0,2,4,32,7,0,0,2,289
