date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,7,8,0,0
2019-08-17 14:00:00+00:00,8,18,1,0
2019-08-23 19:00:00+00:00,2,8,2,0
2019-09-01 13:00:00+00:00,8,20,3,2
2019-09-15 13:00:00+00:00,3,8,3,1
2019-09-21 14:00:00+00:00,8,15,0,2
2019-09-28 16:30:00+00:00,8,11,1,3
2019-10-05 14:00:00+00:00,5,8,1,0
2019-10-19 11:30:00+00:00,8,19,2,0
2019-10-26 14:00:00+00:00,4,8,3,2
2019-11-03 16:30:00+00:00,8,17,1,1
2019-11-09 15:00:00+00:00,16,8,1,2
2019-11-23 15:00:00+00:00,8,14,0,2
2019-12-01 16:30:00+00:00,9,8,2,1
2019-12-04 20:15:00+00:00,10,8,5,2
2019-12-07 12:30:00+00:00,8,6,3,1
2019-12-15 14:00:00+00:00,12,8,1,1
2019-12-21 12:30:00+00:00,8,1,0,0
2019-12-26 15:00:00+00:00,8,5,1,0
2019-12-28 15:00:00+00:00,13,8,1,2
2020-01-01 17:30:00+00:00,11,8,2,1
2020-01-11 15:00:00+00:00,8,4,1,0
2020-01-18 15:00:00+00:00,19,8,1,1
2020-01-21 19:30:00+00:00,8,13,2,2
2020-02-01 15:00:00+00:00,18,8,2,3
2020-02-08 12:30:00+00:00,8,7,3,1
