date,home_team,away_team,home_goals,away_goals
2019-08-10 11:30:00+00:00,19,11,0,5
2019-08-17 14:00:00+00:00,4,19,1,1
2019-08-24 14:00:00+00:00,18,19,1,3
2019-08-31 14:00:00+00:00,19,14,2,0
2019-09-16 19:00:00+00:00,2,19,0,0
2019-09-22 13:00:00+00:00,19,12,2,0
2019-09-28 14:00:00+00:00,3,19,2,2
2019-10-05 16:30:00+00:00,19,7,1,2
2019-10-19 11:30:00+00:00,8,19,2,0
2019-10-26 14:00:00+00:00,19,15,1,1
2019-11-02 15:00:00+00:00,19,13,2,3
2019-11-09 15:00:00+00:00,5,19,3,0
2019-11-23 12:30:00+00:00,19,17,2,3
2019-11-30 15:00:00+00:00,6,19,0,1
2019-12-04 19:30:00+00:00,20,19,2,0
2019-12-09 20:00:00+00:00,19,1,1,3
2019-12-14 17:30:00+00:00,16,19,0,1
2019-12-26 15:00:00+00:00,7,19,2,1
2019-12-28 17:30:00+00:00,19,9,1,2
2020-01-01 17:30:00+00:00,19,3,4,0
2020-01-10 20:00:00+00:00,15,19,1,0
2020-01-18 15:00:00+00:00,19,8,1,1
2020-01-22 19:30:00+00:00,9,19,4,1
2020-01-29 19:45:00+00:00,19,10,0,2
2020-02-01 15:00:00+00:00,19,4,3,3
