date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,7,8,0,0
2019-08-18 13:00:00+00:00,15,7,1,0
2019-08-24 14:00:00+00:00,12,7,1,2
2019-08-31 14:00:00+00:00,7,2,1,0
2019-09-14 14:00:00+00:00,17,7,4,0
2019-09-22 13:00:00+00:00,7,20,1,1
2019-09-28 14:00:00+00:00,7,14,2,0
2019-10-05 16:30:00+00:00,19,7,1,2
2019-10-19 16:30:00+00:00,7,11,0,2
2019-10-27 16:30:00+00:00,1,7,2,2
2019-11-03 14:00:00+00:00,7,9,0,2
2019-11-09 12:30:00+00:00,6,7,2,0
2019-11-23 15:00:00+00:00,7,10,1,2
2019-11-30 15:00:00+00:00,5,7,0,2
2019-12-03 19:30:00+00:00,7,3,1,0
2019-12-07 15:00:00+00:00,18,7,0,0
2019-12-16 19:45:00+00:00,7,4,1,1
2019-12-21 15:00:00+00:00,13,7,1,0
2019-12-26 15:00:00+00:00,7,19,2,1
2019-12-28 15:00:00+00:00,16,7,1,1
2020-01-01 17:30:00+00:00,14,7,1,1
2020-01-11 12:30:00+00:00,7,1,1,1
2020-01-18 15:00:00+00:00,11,7,2,2
2020-01-21 19:30:00+00:00,7,16,0,2
2020-02-01 15:00:00+00:00,7,15,0,1
2020-02-08 12:30:00+00:00,8,7,3,1
