date,home_team,away_team,home_goals,away_goals
2019-08-10 11:30:00+00:00,19,11,0,5
2019-08-17 16:30:00+00:00,11,17,2,2
2019-08-25 13:00:00+00:00,3,11,1,3
2019-08-31 14:00:00+00:00,11,4,4,0
2019-09-14 16:30:00+00:00,14,11,3,2
2019-09-21 14:00:00+00:00,11,18,8,0
2019-09-28 16:30:00+00:00,8,11,1,3
2019-10-06 13:00:00+00:00,11,20,0,2
2019-10-19 16:30:00+00:00,7,11,0,2
2019-10-26 11:30:00+00:00,11,2,3,0
2019-11-02 15:00:00+00:00,11,16,2,1
2019-11-10 16:30:00+00:00,10,11,3,1
2019-11-23 17:30:00+00:00,11,6,2,1
2019-11-30 12:30:00+00:00,13,11,2,2
2019-12-03 20:15:00+00:00,5,11,1,4
2019-12-07 17:30:00+00:00,11,12,1,2
2019-12-15 16:30:00+00:00,1,11,0,3
2019-12-21 17:30:00+00:00,11,9,3,1
2019-12-27 19:45:00+00:00,20,11,3,2
2019-12-29 18:00:00+00:00,11,15,2,0
2020-01-01 17:30:00+00:00,11,8,2,1
2020-01-12 16:30:00+00:00,2,11,1,6
2020-01-18 15:00:00+00:00,11,7,2,2
2020-01-21 19:30:00+00:00,15,11,0,1
2020-02-02 16:30:00+00:00,17,11,2,0
