date,home_team,away_team,home_goals,away_goals
2019-08-10 14:00:00+00:00,18,4,0,3
2019-08-17 14:00:00+00:00,8,18,1,0
2019-08-24 14:00:00+00:00,18,19,1,3
2019-08-31 14:00:00+00:00,13,18,1,1
2019-09-15 15:30:00+00:00,18,1,2,2
2019-09-21 14:00:00+00:00,11,18,8,0
2019-09-28 14:00:00+00:00,20,18,2,0
2019-10-05 14:00:00+00:00,18,15,0,0
2019-10-19 14:00:00+00:00,17,18,1,1
2019-10-26 14:00:00+00:00,18,3,0,0
2019-11-02 17:30:00+00:00,18,6,1,2
2019-11-08 20:00:00+00:00,14,18,0,2
2019-11-23 15:00:00+00:00,18,5,0,3
2019-11-30 17:30:00+00:00,16,18,2,1
2019-12-04 19:30:00+00:00,9,18,2,0
2019-12-07 15:00:00+00:00,18,7,0,0
2019-12-14 12:30:00+00:00,10,18,2,0
2019-12-22 14:00:00+00:00,18,12,2,0
2019-12-26 15:00:00+00:00,15,18,1,1
2019-12-28 15:00:00+00:00,18,2,3,0
2020-01-01 15:00:00+00:00,18,20,2,1
2020-01-12 14:00:00+00:00,3,18,0,3
2020-01-18 12:30:00+00:00,18,17,0,0
2020-01-21 19:30:00+00:00,2,18,2,1
2020-02-01 15:00:00+00:00,18,8,2,3
2020-02-08 17:30:00+00:00,4,18,1,1
