date,home_team,away_team,home_goals,away_goals
2019-08-10 16:30:00+00:00,17,2,3,1
2019-08-17 16:30:00+00:00,11,17,2,2
2019-08-25 15:30:00+00:00,17,13,0,1
2019-09-01 15:30:00+00:00,1,17,2,2
2019-09-14 14:00:00+00:00,17,7,4,0
2019-09-21 11:30:00+00:00,9,17,2,1
2019-09-28 14:00:00+00:00,17,16,2,1
2019-10-05 11:30:00+00:00,4,17,3,0
2019-10-19 14:00:00+00:00,17,18,1,1
2019-10-27 16:30:00+00:00,10,17,2,1
2019-11-03 16:30:00+00:00,8,17,1,1
2019-11-09 15:00:00+00:00,17,15,1,1
2019-11-23 12:30:00+00:00,19,17,2,3
2019-11-30 15:00:00+00:00,17,3,3,2
2019-12-04 19:30:00+00:00,12,17,2,1
2019-12-07 15:00:00+00:00,17,5,5,0
2019-12-15 14:00:00+00:00,20,17,1,2
2019-12-22 16:30:00+00:00,17,6,0,2
2019-12-26 12:30:00+00:00,17,4,2,1
2019-12-28 17:30:00+00:00,14,17,2,2
2020-01-01 15:00:00+00:00,16,17,1,0
2020-01-11 17:30:00+00:00,17,10,0,1
2020-01-18 12:30:00+00:00,18,17,0,0
2020-01-22 19:30:00+00:00,17,14,2,1
2020-02-02 16:30:00+00:00,17,11,2,0
