date,home_team,away_team,home_goals,away_goals
2019-08-11 15:30:00+00:00,12,6,4,0
2019-08-18 15:30:00+00:00,6,9,1,1
2019-08-24 11:30:00+00:00,14,6,2,3
2019-08-31 14:00:00+00:00,6,15,2,2
2019-09-14 14:00:00+00:00,20,6,2,5
2019-09-22 15:30:00+00:00,6,10,1,2
2019-09-28 14:00:00+00:00,6,4,2,0
2019-10-06 13:00:00+00:00,16,6,1,4
2019-10-19 14:00:00+00:00,6,13,1,0
2019-10-26 16:30:00+00:00,5,6,2,4
2019-11-02 17:30:00+00:00,18,6,1,2
2019-11-09 12:30:00+00:00,6,7,2,0
2019-11-23 17:30:00+00:00,11,6,2,1
2019-11-30 15:00:00+00:00,6,19,0,1
2019-12-04 19:30:00+00:00,6,2,2,1
2019-12-07 12:30:00+00:00,8,6,3,1
2019-12-14 15:00:00+00:00,6,3,0,1
2019-12-22 16:30:00+00:00,17,6,0,2
2019-12-26 15:00:00+00:00,6,16,0,2
2019-12-29 14:00:00+00:00,1,6,1,2
2020-01-01 12:30:00+00:00,4,6,1,1
2020-01-11 15:00:00+00:00,6,5,3,0
2020-01-18 17:30:00+00:00,13,6,1,0
2020-01-21 20:15:00+00:00,6,1,2,2
2020-02-01 12:30:00+00:00,9,6,2,2
