first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Shkodran,Mustafi,1,Mustafi,52,-3,2,0.3,1,3,4,90,0,1,0,2,0,0,0,0,24
Héctor,Bellerín,2,Bellerín,54,-1,2,0.3,1,3,1,262,0,0,0,6,2,0,0,0,26
Sead,Kolasinac,3,Kolasinac,52,-3,2,0.6,1,3,27,889,0,2,1,14,2,0,0,1,191
Ainsley,Maitland-Niles,4,Maitland-Niles,46,-4,2,2.6,1,3,19,580,0,2,1,11,0,1,0,3,106
Sokratis,Papastathopoulos,5,Sokratis,49,-1,2,1.5,1,3,33,1260,1,0,2,20,4,0,0,2,217
Nacho,Monreal,6,Monreal,50,0,2,0.3,1,3,10,270,0,0,1,4,0,0,0,1,54
Laurent,Koscielny,7,Koscielny,50,0,2,0.1,1,3,0,0,0,0,0,0,0,0,0,0,0
Konstantinos,Mavropanos,8,Mavropanos,44,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,9,Jenkinson,45,0,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Rob,Holding,10,Holding,45,0,2,0.1,1,3,1,76,0,0,0,2,0,0,0,0,9
Pierre-Emerick,Aubameyang,11,Aubameyang,108,-2,4,19.4,1,3,101,1440,11,3,2,24,2,0,0,18,386
Alexandre,Lacazette,12,Lacazette,93,-2,4,1.8,1,3,47,661,5,2,0,12,2,0,0,6,160
Edward,Nketiah,13,Nketiah,43,-2,4,0.6,1,3,0,0,0,0,0,0,0,0,0,0,0
Bernd,Leno,14,Leno,50,0,1,5.5,1,3,54,1440,0,0,2,24,2,0,69,3,320
Mesut,Özil,15,Özil,72,-3,3,0.9,1,3,21,608,0,2,0,11,0,0,0,1,109
Henrikh,Mkhitaryan,16,Mkhitaryan,68,-2,3,0.8,1,3,4,110,0,0,1,0,1,0,0,0,3
Granit,Xhaka,18,Xhaka,51,-4,3,0.6,1,3,25,1004,0,1,2,18,4,0,0,0,146
Lucas,Torreira,19,Torreira,47,-3,3,1.2,1,3,24,633,1,0,1,11,1,0,0,0,108
Mohamed,Elneny,20,Elneny,43,-2,3,0.9,1,3,0,0,0,0,0,0,0,0,0,0,0
Matteo,Guendouzi,21,Guendouzi,45,0,3,7.8,1,3,35,1222,0,2,2,20,4,0,0,2,210
